"ROUTE_YEAR","ROUTE_MONTH","ORIGIN","TOTAL_LEG_MILES","WEIGHTED_MILES_PER_STOP","MEDIAN_ROUTE_DAY_MILES_PER_STOP","P75_MILES_PER_STOP","MAX_MILES_PER_STOP","GEOGRAPHY_MULTIPLIER","ROUTE_DAYS","TOTAL_STOPS"
2026,8,XD_8162_MI_Grayling.YZER,21091.89,31.62,34.82,36.02,61.73,1.5,150,667
2026,8,XD_8131_CO_Denver.ARHG,10308.24,27.94,34.55,57.87,69.88,1.5,90,369
2026,8,XD_8145_SD_Pierre.CAPL,11201.42,33.14,33.41,33.6,50.59,1.5,72,338
2026,8,XD_8131_WY_Casper.ARHG,23855.6,31.43,31.93,46.41,64.85,1.5,136,759
2026,8,XD_8170_AZ_WhiteMountain.DSOA,12793.26,30.61,31.02,40.45,77.1,1.5,75,418
2026,8,XD_8165_KS_DodgeCity.CAPL,5350.83,19.74,31.02,35.24,38.77,1.5,72,271
2026,8,"8130.WPXC",3076.76,48.84,30.77,37.03,141.29,1.5,31,63
2026,8,XD_8165_KS_Hays.CAPL,7432.1,28.59,30.29,52.08,67.44,1.5,88,260
2026,8,XD_8149_AR_LittleRock.YZER,91433.8,34.66,29.89,49.89,2143.73,1.5,333,2638
2026,8,"8182.YZER",4779.02,26.7,29.38,33.16,49.4,1.5,63,179
2026,8,XD_8145_ND_Minot.CAPL,8378.62,24.29,28.06,33.14,56.02,1.5,89,345
2026,8,XD_8145_SD_SiouxFalls.CAPL,17040.32,32.46,26.4,54.21,98.72,1.5,204,525
2026,8,XD_8144_MI_CrystalFalls.YZER,19232.38,57.75,25.06,48.39,216.36,1.5,93,333
2026,8,XD_8131_CO_Pueblo.YZER,22135.83,34.21,25.04,39.01,86.67,1.5,60,647
2026,8,XD_8163_WV_Nitro.KBDL,56699.42,44.93,25.02,39.44,257.24,1.5,230,1262
2026,8,XD_8165_TX_Amarillo.HDSD,16134.18,16.53,24.91,28.57,52.42,1.5,165,976
2026,8,XD_8180_MT_GreatFalls.RIDS,8367.59,16.94,24.85,35.85,51.54,1.5,75,494
2026,8,XD_8120_VA_Roanoke.YZER,17782.02,21.74,24.6,33.74,40.0,1.5,150,818
2026,8,XD_8195_FL_Tallahassee.HDSD,11369.73,16.22,24.33,29.26,87.62,1.5,169,701
2026,8,XD_8110_MA_Franklin.PXCR,1874.62,24.35,23.23,35.97,52.11,1.5,24,77
2026,8,XD_8120_MD_Savage.PXCR,27032.54,21.8,22.83,33.69,51.53,1.5,280,1240
2026,8,XD_8145_KS_Topeka.CAPL,5286.38,14.17,22.19,28.26,46.27,1.5,75,373
2026,8,XD_8163_KY_Paducah.KBDL,15633.21,19.54,21.7,25.38,49.05,1.5,195,800
2026,8,XD_8131_CO_GrandJunction.ARHG,9626.96,17.38,21.49,39.25,60.62,1.5,137,554
2026,8,XD_8145_MN_Duluth.CAPL,31278.32,44.24,21.17,25.84,249.92,1.5,135,707
2026,8,XD_8120_NC_Kinston.YZER,6407.34,16.6,21.03,23.66,24.56,1.5,90,386
2026,8,XD_8165_TX_WichitaFalls.CAPL,18428.35,43.67,20.99,58.65,66.36,1.5,45,422
2026,8,XD_8126_MS_Jackson.HDSD,42737.76,16.85,20.81,26.94,46.99,1.5,503,2536
2026,8,XD_8180_UT_CedarCity.RIDS,8926.4,19.79,20.29,55.46,83.19,1.5,105,451
2026,8,XD_8144_IL_Galesburg.YZER,3228.34,17.94,19.13,19.84,24.87,1.5,30,180
2026,8,XD_8120_NC_RockyMount.YZER,2274.85,22.09,18.96,34.98,34.98,1.5,45,103
2026,8,XD_8163_OH_Cadiz.KBDL,75282.22,67.46,18.91,21.48,1060.6,1.5,150,1116
2026,8,"8180.IHEA",3467.61,21.02,18.82,21.94,77.5,1.5,66,165
2026,8,XD_8148_GA_Albany.MDGA,23414.5,19.32,18.78,26.45,67.81,1.5,281,1212
2026,8,XD_8145_ND_Fargo.CAPL,40585.07,30.63,18.59,33.28,283.28,1.5,210,1325
2026,8,XD_8145_NE_Norfolk.CAPL,26989.86,93.07,18.24,20.67,1416.43,1.5,75,290
2026,8,XD_8145_IA_FortDodge.CAPL,4682.74,14.02,18.07,18.2,32.5,1.5,79,334
2026,8,XD_8144_IL_Bloomington.YZER,35830.15,33.15,17.98,23.88,301.84,1.5,135,1081
2026,8,XD_8165_KS_Parsons.CAPL,2784.92,16.01,17.6,23.72,26.33,1.5,60,174
2026,8,XD_8173_WA_Wenatchee.WPXC,3746.77,12.7,17.3,20.05,38.36,1.5,73,295
2026,8,XD_8163_OH_Columbus.KBDL,38800.46,18.95,16.97,29.86,92.85,1.5,297,2048
2026,8,"8144.YZER",23965.97,97.82,16.88,186.22,372.45,1.5,94,245
2026,8,"8160.YZER",5430.7,13.71,16.63,16.91,125.51,1.5,46,396
2026,8,XD_8110_ME_Bangor.PXCR,11684.93,17.08,16.57,29.57,49.6,1.5,150,684
2026,8,XD_8163_IN_Evansville.KBDL,10315.12,13.28,16.4,18.75,63.42,1.5,171,777
2026,8,XD_8165_TX_Lubbock.HDSD,27024.29,25.16,16.32,34.07,173.91,1.5,210,1074
2026,8,XD_8144_WI_Appleton.MEDD,8447.73,16.76,16.26,23.1,44.29,1.5,125,504
2026,8,XD_8120_PA_Aston.PXCR,10973.36,16.09,16.17,19.26,51.41,1.5,95,682
2026,8,XD_8145_ND_Bismarck.CAPL,27242.41,53.31,16.12,29.33,434.46,1.5,120,511
2026,8,XD_8165_TX_Abilene.HDSD,18148.9,17.11,16.04,21.29,213.45,1.5,169,1061
2026,8,"8120.YZER",10975.97,14.35,15.75,23.68,61.17,1.5,138,765
2026,8,XD_8144_WI_Greenville.YZER,10891.05,12.84,15.61,21.68,42.7,1.5,210,848
2026,8,XD_8183_MO_Springfield.CAPL,20032.4,14.05,15.36,27.39,49.11,1.5,240,1426
2026,8,XD_8115_LA_Shreveport.YZER,17921.97,13.54,15.28,21.26,93.94,1.5,154,1324
2026,8,XD_8163_KY_Lexington.KBDL,25365.56,14.58,15.15,24.81,61.03,1.5,259,1740
2026,8,XD_8148_TN_Knoxville.YZER,21558.32,16.03,15.15,22.34,40.93,1.5,195,1345
2026,8,XD_8131_SD_Scottsbluff.CAPL,4433.41,12.45,15.03,22.33,25.53,1.5,30,356
2026,8,"8149.YZER",81338.0,49.45,14.97,17.19,476.64,1.5,168,1645
2026,8,"8160.AXLG",444.58,13.89,14.82,14.82,14.82,1.5,15,32
2026,8,XD_8145_NE_GrandIsland.CAPL,14346.57,23.03,14.73,24.87,175.79,1.5,120,623
2026,8,XD_8131_CO_Bayfield.ARHG,2822.82,14.63,14.45,15.65,15.65,1.5,15,193
2026,8,XD_8148_SC_Columbia.YZER,22872.38,14.08,14.4,18.61,38.14,1.5,247,1624
2026,8,XD_8148_NC_Lumberton.YZER,20301.08,13.98,14.16,22.79,52.31,1.5,293,1452
2026,8,XD_8115_LA_Lafayette.HDSD,25541.65,14.82,14.08,22.12,46.94,1.5,298,1724
2026,8,XD_8165_KS_Salina.CAPL,1471.21,9.55,13.99,17.18,17.18,1.5,45,154
2026,8,XD_8131_NE_Nebraska.CAPL,3813.36,17.41,13.91,24.4,31.6,1.5,45,219
2026,8,XD_8155_PA_Reading.PXCR,32878.32,13.55,13.89,24.49,171.84,1.5,490,2426
2026,8,XD_8145_IA_Grimes.CAPL,15437.35,14.5,13.75,30.09,62.5,1.5,282,1065
2026,8,XD_8115_TX_Tyler.YZER,18792.34,12.0,13.69,16.55,26.36,1.5,188,1566
2026,8,XD_8180_MT_Missoula.RIDS,7792.44,14.43,13.67,31.96,52.67,1.5,116,540
2026,8,XD_8180_MT_Butte.RIDS,4833.34,12.21,13.66,17.87,27.08,1.5,74,396
2026,8,XD_8120_NC_Durham.YZER,15486.47,15.02,13.61,23.88,64.83,1.5,270,1031
2026,8,XD_8183_MO_CapeGirardeau.KBDL,15791.06,16.2,13.57,20.37,254.9,1.5,225,975
2026,8,XD_8145_WI_Wausau.CAPL,10431.93,16.74,13.46,23.55,64.79,1.5,135,623
2026,8,XD_8148_GA_Savannah.MDGA,17224.17,16.61,13.3,30.5,52.3,1.5,255,1037
2026,8,XD_8162_MI_GrandRapids.YZER,28969.31,12.45,13.2,17.43,23.76,1.5,210,2326
2026,8,XD_8148_GA_Macon.MDGA,13028.44,13.45,13.08,18.86,50.28,1.5,278,969
2026,8,XD_8145_IA_Davenport.CAPL,4746.67,10.6,12.89,19.82,28.82,1.5,122,448
2026,8,XD_8170_AZ_Kingman.AVBV,4417.08,11.21,12.82,16.17,16.43,1.5,60,394
2026,8,XD_8155_MD_Annapolis.PXCR,1678.05,7.77,12.67,18.24,24.75,1.5,40,216
2026,8,XD_8160_NY_Syracuse.YZER,54467.39,15.38,12.58,17.69,245.52,1.5,473,3542
2026,8,XD_8163_PA_Pittsburgh.YZER,22003.89,15.4,12.57,15.54,85.1,1.5,176,1429
2026,8,XD_8148_GA_ForestPark.MDGA,7196.56,10.11,12.43,19.07,29.41,1.5,106,712
2026,8,XD_8173_WA_Spokane.WPXC,25329.08,15.71,12.39,28.75,70.57,1.5,365,1612
2026,8,XD_8145_WI_EauClaire.CAPL,12443.42,13.41,12.24,17.69,23.25,1.5,135,928
2026,8,XD_8160_NY_Middletown.AXLG,13102.44,12.36,12.23,15.78,39.88,1.5,234,1060
2026,8,XD_8145_MN_Clearwater.CAPL,9297.03,11.16,12.21,13.36,32.96,1.5,135,833
2026,8,XD_8180_UT_Midvale.IHEA,10518.6,18.04,12.21,21.84,94.57,1.5,175,583
2026,8,XD_8131_WY_Cheyenne.ARHG,2449.8,9.35,12.13,36.04,64.99,1.5,62,262
2026,8,XD_8149_TN_Memphis.YZER,39638.22,17.22,12.04,16.09,273.85,1.5,229,2302
2026,8,XD_8110_VT_EssexJunction.PXCR,30698.19,37.35,12.02,14.73,324.55,1.5,75,822
2026,8,XD_8145_MN_Mankato.CAPL,6944.98,10.8,11.79,26.3,37.28,1.5,105,643
