,JOB_ID,ROUTE_ID,CNSLDTN_ID,FILL_DC_CD,DC_CD,ASN_TYPE_CD,ASN_TYPE_DESC,DELIVERY_TYPE,CARRIER_SCAC_NAME,CARRIER_SCAC_CD,DLVRY_ACTL_DATETIME,DELIVERY_SEQ,TOTAL_RATE,TOPSIDE_COST,LASTMILE_TOTAL_COST,LASTMILE_BASE_COST,LASTMILE_FUEL_COST,LASTMILE_MISC_COST,STOP_COUNT_VAL_ROUTE_LVL,TOTE_COUNT_VAL_ROUTE_LVL,STOP_COUNT_VAL,TOTE_COUNT_VAL,ROUTE_COUNT_VAL,DISTANCE_VAL,helper column,delivery date,year,month,stop helper,dist stop flag,_rc_total,_fm_cnt,cost per stop,cost_per_stop_excl_ts,ts week start,ts week end,ts week,ts key,_ts_stop_eligible,ts daily cons key,ts daily distinct stop flag,_ts_total,_ts_cnt,ts_rate_per_stop,ts cps stop flag,ts_cost_per_stop,delivery stop flag,route_stop_count,fill_dc_stop_count
3577,8162-G05-035-414946-260526,8162_G05,C_414946,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-26 23:59:59,35,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0,8162_G05|XD_8162_OH_CLEVELAND.YZER|20260526,2026-05-26,2026,5,8162_G05|XD_8162_OH_CLEVELAND.YZER|20260526|35,1,336.66,9.0,127.19971789161099,37.406666666666666,2026-05-25,2026-05-31,2026-05-25 / 2026-05-31,XD_8162_OH_CLEVELAND.YZER|20260525,True,XD_8162_OH_CLEVELAND.YZER|20260526|C_414946,1,40317.08,449,89.79305122494432,1,89.79305122494432,1,9,2625
3578,8162-H06-015-631172-260527,8162_H06,C_433600,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-27 23:59:59,15,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,0.0,8162_H06|XD_8162_OH_CLEVELAND.YZER|20260527,2026-05-27,2026,5,8162_H06|XD_8162_OH_CLEVELAND.YZER|20260527|15,0,277.28,6.0,0.0,0.0,2026-05-25,2026-05-31,2026-05-25 / 2026-05-31,XD_8162_OH_CLEVELAND.YZER|20260525,True,XD_8162_OH_CLEVELAND.YZER|20260527|C_433600,0,40317.08,449,89.79305122494432,0,0.0,0,6,2625
3579,8163-G07-005-599132-260527,8163_G07,C_599132,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-27 23:59:59,5,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,0.0,8163_G07|XD_8162_OH_CLEVELAND.YZER|20260527,2026-05-27,2026,5,8163_G07|XD_8162_OH_CLEVELAND.YZER|20260527|5,0,0.0,1.0,0.0,0.0,2026-05-25,2026-05-31,2026-05-25 / 2026-05-31,XD_8162_OH_CLEVELAND.YZER|20260525,True,XD_8162_OH_CLEVELAND.YZER|20260527|C_599132,0,40317.08,449,89.79305122494432,0,0.0,0,1,2625
3580,8162-H04-020-274850-260527,8162_H04,C_274850,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-27 23:59:59,20,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0,8162_H04|XD_8162_OH_CLEVELAND.YZER|20260527,2026-05-27,2026,5,8162_H04|XD_8162_OH_CLEVELAND.YZER|20260527|20,1,271.33,8.0,123.70930122494431,33.91625,2026-05-25,2026-05-31,2026-05-25 / 2026-05-31,XD_8162_OH_CLEVELAND.YZER|20260525,True,XD_8162_OH_CLEVELAND.YZER|20260527|C_274850,1,40317.08,449,89.79305122494432,1,89.79305122494432,1,8,2625
3581,Z-3632080,8162_G01,,8162,XD_8162_OH_CLEVELAND.YZER,RC,Route Chrg,REG,Yzer LLC,YZER,2026-05-28 23:59:59,0,254.71,0.0,254.71,230.0,16.66,8.05,,,,,1.0,1.0,8162_G01|XD_8162_OH_CLEVELAND.YZER|20260528,2026-05-28,2026,5,8162_G01|XD_8162_OH_CLEVELAND.YZER|20260528|RETURN,1,254.71,7.0,0.0,0.0,2026-05-25,2026-05-31,2026-05-25 / 2026-05-31,XD_8162_OH_CLEVELAND.YZER|20260525,False,,0,40317.08,449,89.79305122494432,0,0.0,0,7,2625
3582,8162-H06-015-631172-260528,8162_H06,C_433600,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-28 23:59:59,15,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,0.0,8162_H06|XD_8162_OH_CLEVELAND.YZER|20260528,2026-05-28,2026,5,8162_H06|XD_8162_OH_CLEVELAND.YZER|20260528|15,0,276.07,6.0,0.0,0.0,2026-05-25,2026-05-31,2026-05-25 / 2026-05-31,XD_8162_OH_CLEVELAND.YZER|20260525,True,XD_8162_OH_CLEVELAND.YZER|20260528|C_433600,0,40317.08,449,89.79305122494432,0,0.0,0,6,2625
3583,8162-GX0-004-960596-260529,8162_GX0,C_464241,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-29 23:59:59,4,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,0.0,8162_GX0|XD_8162_OH_CLEVELAND.YZER|20260529,2026-05-29,2026,5,8162_GX0|XD_8162_OH_CLEVELAND.YZER|20260529|4,1,0.0,1.0,0.0,0.0,2026-05-25,2026-05-31,2026-05-25 / 2026-05-31,XD_8162_OH_CLEVELAND.YZER|20260525,True,XD_8162_OH_CLEVELAND.YZER|20260529|C_464241,0,40317.08,449,89.79305122494432,0,0.0,1,1,2625
3584,8162-G02-045-209162-260527,8162_G02,C_209162,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-27 23:59:59,45,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,0.0,8162_G02|XD_8162_OH_CLEVELAND.YZER|20260527,2026-05-27,2026,5,8162_G02|XD_8162_OH_CLEVELAND.YZER|20260527|45,1,442.47,8.0,55.30875,55.30875,2026-05-25,2026-05-31,2026-05-25 / 2026-05-31,XD_8162_OH_CLEVELAND.YZER|20260525,True,XD_8162_OH_CLEVELAND.YZER|20260527|C_209162,0,40317.08,449,89.79305122494432,0,0.0,1,8,2625
3585,8162-G04-045-443911-260529,8162_G04,C_443911,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-29 23:59:59,45,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0,8162_G04|XD_8162_OH_CLEVELAND.YZER|20260529,2026-05-29,2026,5,8162_G04|XD_8162_OH_CLEVELAND.YZER|20260529|45,1,274.65,8.0,124.12430122494432,34.33125,2026-05-25,2026-05-31,2026-05-25 / 2026-05-31,XD_8162_OH_CLEVELAND.YZER|20260525,True,XD_8162_OH_CLEVELAND.YZER|20260529|C_443911,1,40317.08,449,89.79305122494432,1,89.79305122494432,1,8,2625
3586,8162-G07-005-599132-260514,8162_G07,C_599132,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-14 23:59:59,5,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0,8162_G07|XD_8162_OH_CLEVELAND.YZER|20260514,2026-05-14,2026,5,8162_G07|XD_8162_OH_CLEVELAND.YZER|20260514|5,0,305.98,8.0,0.0,0.0,2026-05-11,2026-05-17,2026-05-11 / 2026-05-17,XD_8162_OH_CLEVELAND.YZER|20260511,True,XD_8162_OH_CLEVELAND.YZER|20260514|C_599132,0,39180.62,561,69.84067736185384,0,0.0,0,8,2625
